"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SPICEPREFIX";
"BUTTONS";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"10uF";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"F1";"1A/250V";"2410SFV1.00FM_125-2";"FUSC6125X236N";"LITTELFUSE - 2410SFV1.00FM/125-2 - FUSE, SMD, 2410, 1A";"2410SFV1.00FM/125-2";"https://www.arrow.com/en/products/2410sfv1.00fm125-2/littelfuse";"LITTELFUSE - 2410SFV1.00FM/125-2 - FUSE, SMD, 2410, 1A";"2.36mm";"LITTELFUSE";"2410SFV1.00FM/125-2";"";"";"";"";"";"";"";
"Q1";"IRLML6244";"IRLML6244";"SOT-23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q2";"IRLML6244";"IRLML6244";"SOT-23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R1";"360R";"R-EU_MELF0204R";"MINI_MELF-0204R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R2";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R3";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R4";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R5";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R6";"160R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R7";"1k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R8";"360R";"R-EU_MELF0204R";"MINI_MELF-0204R";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R9";"160R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"R10";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"U1";"TLP266J";"TLP266J";"11-4M1S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"MAINS_CONVERTERS";"MAINS_CONVERTERS";"HLK-PM01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U4";"TLP266J";"TLP266J";"11-4M1S";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U6";"BTA208S";"BTA208S-600B";"SOT428";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U7";"BTA208S";"BTA208S-600B";"SOT428";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U10";"ESP-M3_SIL2";"ESP-M3_SIL2";"ESP-M3_SIL2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"";"AK500/4";"AK500/4";"CONNECTOR";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"";"";
